,Access_Level,Training_Completed,Code_postal,Email_Domain,EmployeeTargeted,Gender,Social_Media,behaviorPattern2,peerUsageMetric6,usageMetric2,usageMetric5,fraudTraining
3402,4,1.0,10000,slideshare.net,1.0,0,2.0,1,6,0,4,1
2817,2,1.0,84995,slideshare.net,0.0,0,1.0,0,5,1,6,1
3692,2,1.0,10000,ox.ac.uk,1.0,0,0.0,0,0,0,4,1
4229,3,0.0,24999,si.edu,1.0,1,0.0,2,6,0,6,0
11179,2,1.0,24999,si.edu,1.0,1,1.0,2,3,1,5,0
6245,1,1.0,24999,ehow.com,1.0,0,0.0,0,5,1,0,1
13551,1,1.0,84995,nsw.gov.au,0.0,0,2.0,1,3,0,1,0
13087,2,0.0,10000,google.co.uk,1.0,1,0.0,2,4,1,7,0
7470,1,0.0,10000,slideshare.net,1.0,1,1.0,2,4,1,0,1
10563,1,1.0,10000,si.edu,1.0,0,1.0,1,6,1,5,1
7206,3,0.0,39998,si.edu,1.0,0,0.0,0,4,2,0,0
4078,6,1.0,54997,si.edu,0.0,0,0.0,1,0,0,0,0
12118,5,,69996,si.edu,0.0,1,0.0,1,1,0,6,0
2655,0,0.0,24999,ox.ac.uk,1.0,1,0.0,0,3,1,5,0
1141,3,0.0,24999,ox.ac.uk,1.0,0,0.0,1,5,1,5,1
7563,1,1.0,24999,slideshare.net,1.0,1,0.0,0,3,1,0,0
2403,1,1.0,39998,si.edu,1.0,0,0.0,1,0,2,2,0
9551,4,1.0,24999,si.edu,1.0,1,0.0,1,5,0,6,1
9725,1,0.0,84995,ox.ac.uk,0.0,0,1.0,2,3,1,4,0
1066,1,1.0,54997,nsw.gov.au,0.0,0,1.0,2,5,0,2,0
656,4,0.0,39998,si.edu,1.0,1,0.0,2,0,1,6,0
9215,1,0.0,10000,slideshare.net,1.0,1,0.0,0,3,0,4,0
2397,4,0.0,84995,ehow.com,0.0,1,0.0,0,2,2,7,1
2561,1,1.0,54997,si.edu,0.0,0,1.0,0,3,2,6,0
7437,2,0.0,84995,si.edu,0.0,1,1.0,2,6,0,2,0
6147,3,0.0,39998,ehow.com,0.0,0,1.0,2,1,0,2,1
11365,3,0.0,54997,si.edu,0.0,0,0.0,1,1,1,5,0
5397,1,0.0,84995,si.edu,0.0,0,0.0,0,5,1,2,1
